date,adj_close
2014-12-31,109.0332888589
2015-01-02,109.9404506604
2015-01-05,106.4251986796
2015-01-06,106.3874002712
2015-01-07,107.5364718864
2015-01-08,110.0236071589
2015-01-09,108.3755965528
2015-01-12,107.6271880666
2015-01-13,107.0602119406
2015-01-14,105.7826257368
2015-01-15,105.4273206979
2015-01-16,105.6163127399
2015-01-20,106.8787795803
2015-01-21,108.1790448291
2015-01-22,109.101325994
2015-01-23,108.4511933696
2015-01-26,108.1639254658
2015-01-27,107.2340846193
2015-01-28,104.9510607521
2015-01-29,111.1197610024
2015-01-30,110.0765249306
2015-02-02,111.6413790382
2015-02-03,112.1932358008
2015-02-04,112.2007954825
2015-02-05,114.544296803
2015-02-06,113.6371350015
2015-02-09,113.2213525092
2015-02-10,113.6144559565
2015-02-11,113.4027848695
2015-02-12,115.0734745206
2015-02-13,115.5194957396
2015-02-17,116.0108750488
2015-02-18,116.3208219976
2015-02-19,117.9915116487
2015-02-20,119.185941354
2015-02-23,118.0066310121
2015-02-24,118.6718829999
2015-02-25,118.7248007716
2015-02-26,118.4072941411
2015-02-27,118.0368697388
2015-03-02,119.541246393
2015-03-03,117.9763922854
2015-03-04,116.9785143037
2015-03-05,117.0692304839
2015-03-06,115.3683021061
2015-03-09,116.335941361
2015-03-10,114.9827583404
2015-03-11,114.3779838061
2015-03-12,115.8823604602
2015-03-13,114.9071615236
2015-03-16,115.3834214694
2015-03-17,115.3909811511
2015-03-18,116.9331562136
2015-03-19,115.0885938839
2015-03-20,115.4438989228
2015-03-23,114.8240050252
2015-03-24,115.0432357938
2015-03-25,113.8941641786
2015-03-26,114.2721482626
2015-03-27,115.4741376496
2015-03-30,116.8802384419
2015-03-31,114.9651656144
2015-04-01,114.060825668
2015-04-02,114.782777726
2015-04-06,115.5807247375
2015-04-07,114.8891706609
2015-04-08,114.7295812586
2015-04-09,115.5503267561
2015-04-10,115.4515333166
2015-04-13,114.4332009401
2015-04-14,115.3907373538
2015-04-15,115.7783116165
2015-04-16,115.2007499701
2015-04-17,113.8784377797
2015-04-20,115.0335610725
2015-04-21,115.4591328119
2015-04-22,115.109556026
2015-04-23,114.4483999307
2015-04-24,114.038027182
2015-04-27,114.7979767167
2015-04-28,116.2418808327
2015-04-29,115.4135358399
2015-04-30,108.9995617667
2015-05-01,111.4086017918
2015-05-04,112.1533523359
2015-05-05,110.5042618455
2015-05-06,110.6106547803
2015-05-07,111.0970224826
2015-05-08,112.4497326544
2015-05-11,110.9602315663
2015-05-12,109.7975087782
2015-05-13,110.1546850595
2015-05-14,112.1837503172
2015-05-15,112.8373069171
2015-05-18,112.419334673
2015-05-19,112.1001558684
2015-05-20,111.8037755499
2015-05-21,112.4649316451
2015-05-22,111.5377932127
2015-05-26,110.9830300524
2015-05-27,112.1229543545
2015-05-28,112.6245210474
2015-05-29,111.5301937174
2015-06-01,112.0545588963
2015-06-02,112.5865235707
2015-06-03,112.7309139823
2015-06-04,110.8994356035
2015-06-05,110.6334532664
2015-06-08,109.8431057503
2015-06-09,109.7595113014
2015-06-10,110.9070350989
2015-06-11,111.1046219779
2015-06-12,110.1546850595
2015-06-15,109.531526441
2015-06-16,110.7322467059
2015-06-17,111.0818234919
2015-06-18,111.6669846336
2015-06-19,110.3218739571
2015-06-22,110.8386396408
2015-06-23,110.0938890967
2015-06-24,109.2199471318
2015-06-25,108.5435920459
2015-06-26,107.9736298948
2015-06-29,104.827438821
2015-06-30,104.5981072988
2015-07-01,105.8900082075
2015-07-02,105.0185484229
2015-07-06,104.0477116454
2015-07-07,104.6669067555
2015-07-08,101.662663814
2015-07-09,101.1046237765
2015-07-10,103.910112732
2015-07-13,104.3381982402
2015-07-14,104.8733051255
2015-07-15,105.1102810318
2015-07-16,104.7815725166
2015-07-17,104.1241554861
2015-07-20,103.3826502308
2015-07-21,102.0066610973
2015-07-22,101.5174205165
2015-07-23,101.4486210599
2015-07-24,99.42285928
2015-07-27,98.4749556547
2015-07-28,101.5327092847
2015-07-29,102.5417679826
2015-07-30,108.8101629241
2015-07-31,108.9401174534
2015-08-03,111.5162748867
2015-08-04,111.6768069523
2015-08-05,112.7164431865
2015-08-06,112.3877346712
2015-08-07,111.753250793
2015-08-10,113.4044377532
2015-08-11,112.1431143808
2015-08-12,111.1340556829
2015-08-13,111.4092535096
2015-08-14,112.1736919171
2015-08-17,112.1889806853
2015-08-18,111.6309406478
2015-08-19,110.5760156455
2015-08-20,107.3118636454
2015-08-21,105.1026366477
2015-08-24,101.1504900809
2015-08-25,103.0539417156
2015-08-26,105.33196817
2015-08-27,107.5182620154
2015-08-28,107.5335507836
2015-08-31,106.662090999
2015-09-01,103.902468348
2015-09-02,106.2187167227
2015-09-03,106.7156016876
2015-09-04,103.8871795798
2015-09-08,106.4480482449
2015-09-09,104.8962382777
2015-09-10,104.3534870084
2015-09-11,104.2846875517
2015-09-14,103.5661154486
2015-09-15,103.6731368257
2015-09-16,106.0123183527
2015-09-17,106.2798717953
2015-09-18,102.89340965
2015-09-21,103.0998080201
2015-09-22,101.3798216032
2015-09-23,99.7439234111
2015-09-24,98.9641962355
2015-09-25,97.5652739497
2015-09-28,95.7459105399
2015-09-29,96.8008355422
2015-09-30,98.1549085875
2015-10-01,99.4551264548
2015-10-02,100.4168260608
2015-10-05,102.2632893044
2015-10-06,102.1632725453
2015-10-07,103.2249889104
2015-10-08,106.1023941315
2015-10-09,107.6718878885
2015-10-12,106.7948178479
2015-10-13,106.3947508118
2015-10-14,106.5793971361
2015-10-15,107.5257095484
2015-10-16,106.8332858321
2015-10-19,106.1947172937
2015-10-20,105.671552708
2015-10-21,104.2790116785
2015-10-22,106.0408453568
2015-10-23,107.7026622759
2015-10-26,107.5334031453
2015-10-27,107.1179489155
2015-10-28,109.3490920014
2015-10-29,105.6792463049
2015-10-30,106.9256089943
2015-11-02,106.6024779267
2015-11-03,106.7178818794
2015-11-04,106.3178148433
2015-11-05,105.6330847238
2015-11-06,106.6486395077
2015-11-09,104.8868058295
2015-11-10,105.1868561066
2015-11-11,105.2484048814
2015-11-12,104.0943653542
2015-11-13,105.6946334986
2015-11-16,107.9796317625
2015-11-17,107.3025952398
2015-11-18,107.2718208524
2015-11-19,107.6795814854
2015-11-20,107.1641104966
2015-11-23,107.848840616
2015-11-24,107.3025952398
2015-11-25,106.4409123929
2015-11-27,106.0947005347
2015-11-30,105.317647253
2015-12-01,106.1716365032
2015-12-02,106.5563163456
2015-12-03,104.4559644061
2015-12-04,106.5101547645
2015-12-07,105.2560984783
2015-12-08,102.3017572886
2015-12-09,102.9787938112
2015-12-10,101.9478518336
2015-12-11,100.3860516734
2015-12-14,99.2166249525
2015-12-15,101.1707985519
2015-12-16,101.7170439281
2015-12-17,100.2937285113
2015-12-18,98.3626357024
2015-12-21,99.9782910405
2015-12-22,101.2092665362
2015-12-23,102.4633228224
2015-12-24,102.4710164193
2015-12-28,102.0170942052
2015-12-29,102.4787100161
2015-12-30,102.3786932571
2015-12-31,100.7144395863
2016-01-04,100.0022938294
2016-01-05,98.2141887227
2016-01-06,95.8223078655
2016-01-07,92.6099112451
2016-01-08,92.1299869307
2016-01-11,92.4938005239
2016-01-12,93.8252034605
2016-01-13,91.7661733376
2016-01-14,91.6345811869
2016-01-15,91.201101161
2016-01-19,92.5712076714
2016-01-20,90.9998425775
2016-01-21,90.6979547023
2016-01-22,92.091283357
2016-01-25,90.032253234
2016-01-26,91.6578033311
2016-01-27,91.3946190297
2016-01-28,92.122246216
2016-01-29,98.0825965719
2016-02-01,101.6046217823
2016-02-02,101.2562896186
2016-02-03,103.2456533089
2016-02-04,105.3975720088
2016-02-05,104.9640919829
2016-02-08,101.2098453301
2016-02-09,102.533507552
2016-02-10,100.9776238877
2016-02-11,98.4696323093
2016-02-12,100.9002167402
2016-02-16,101.674288215
2016-02-17,102.5722111258
2016-02-18,101.5349553495
2016-02-19,101.8136210805
2016-02-22,102.8895804304
2016-02-23,101.5659182085
2016-02-24,101.82910251
2016-02-25,102.9437654337
2016-02-26,103.4469118923
2016-02-29,102.5412482668
2016-03-01,104.0274654984
2016-03-02,103.8958733477
2016-03-03,104.4067605211
2016-03-04,104.3370940883
2016-03-07,104.499649098
2016-03-08,103.8958733477
2016-03-09,104.2519462261
2016-03-10,104.1900205081
2016-03-11,105.637534166
2016-03-14,105.4672384415
2016-03-15,103.764281197
2016-03-16,105.3201648613
2016-03-17,109.1131150878
2016-03-18,109.600780117
2016-03-21,108.9041157896
2016-03-22,110.7464058997
2016-03-23,111.412107368
2016-03-24,109.7323722677
2016-03-28,110.7928501882
2016-03-29,112.2635859903
2016-03-30,113.0995831831
2016-03-31,112.1651976421
2016-04-01,113.1463024601
2016-04-04,111.1140139086
2016-04-05,111.1140139086
2016-04-06,111.8848819799
2016-04-07,110.4521574838
2016-04-08,110.9738560775
2016-04-11,111.6279259561
2016-04-12,112.3053554733
2016-04-13,112.4377267582
2016-04-14,112.9672118981
2016-04-15,112.9282791672
2016-04-18,114.0495418163
2016-04-19,116.1752689219
2016-04-20,115.8871667135
2016-04-21,115.4900528586
2016-04-22,115.3343219351
2016-04-25,115.2097371963
2016-04-26,114.8437695261
2016-04-27,115.4822663124
2016-04-28,115.6613568744
2016-04-29,113.5979221382
2016-05-02,113.5823490459
2016-05-03,111.4566219403
2016-05-04,111.2308121012
2016-05-05,111.5422739482
2016-05-06,112.5700980432
2016-05-09,111.043934993
2016-05-10,112.3754343888
2016-05-11,110.8959906157
2016-05-12,111.6123528638
2016-05-13,110.4365843914
2016-05-16,111.7758703334
2016-05-17,111.2541717397
2016-05-18,110.3353592912
2016-05-19,110.3353592912
2016-05-20,110.1329090906
2016-05-23,110.3119996526
2016-05-24,111.5812066791
2016-05-25,111.8770954337
2016-05-26,111.402116117
2016-05-27,111.3943295709
2016-05-31,111.0672946315
2016-06-01,112.1262649113
2016-06-02,111.7369376025
2016-06-03,111.5422739482
2016-06-06,113.3409661145
2016-06-07,113.0995831831
2016-06-08,114.3765767557
2016-06-09,114.1507669166
2016-06-10,113.9872494469
2016-06-13,112.1496245498
2016-06-14,112.0483994495
2016-06-15,111.8537357952
2016-06-16,112.4065805735
2016-06-17,111.5889932252
2016-06-20,112.157411096
2016-06-21,111.4644084864
2016-06-22,111.7369376025
2016-06-23,113.6991472385
2016-06-24,109.1050849956
2016-06-27,104.9782155232
2016-06-28,106.4576592963
2016-06-29,109.1050849956
2016-06-30,111.2831126869
2016-07-01,110.4213031687
2016-07-05,108.5018183329
2016-07-06,109.1834313154
2016-07-07,109.4263049069
2016-07-08,113.092912675
2016-07-11,113.4924789061
2016-07-12,115.7175143893
2016-07-13,115.8898762929
2016-07-14,116.6576702272
2016-07-15,117.0102286665
2016-07-18,116.8848745547
2016-07-19,117.0337325624
2016-07-20,117.0102286665
2016-07-21,116.1875923083
2016-07-22,116.4461351637
2016-07-25,116.3599542119
2016-07-26,117.4019602656
2016-07-27,116.743851179
2016-07-28,116.7281819151
2016-07-29,117.0650710904
2016-08-01,116.8535360268
2016-08-02,116.1327498844
2016-08-03,116.1170806204
2016-08-04,116.7360165471
2016-08-05,116.9005438187
2016-08-08,116.5479853795
2016-08-09,116.8143628669
2016-08-10,116.759520443
2016-08-11,116.775189707
2016-08-12,117.3941256336
2016-08-15,118.7103438068
2016-08-16,119.6896728047
2016-08-17,120.4339628431
2016-08-18,121.4132918409
2016-08-19,121.9695507117
2016-08-22,121.8128580721
2016-08-23,121.7736849121
2016-08-24,121.6013230085
2016-08-25,122.0087238716
2016-08-26,120.8491983382
2016-08-29,122.1340779834
2016-08-30,122.7295100141
2016-08-31,121.9225429198
2016-09-01,122.4552978947
2016-09-02,123.0742338213
2016-09-06,123.3171074128
2016-09-07,123.3171074128
2016-09-08,122.1340779834
2016-09-09,118.7181784388
2016-09-12,117.9738884004
2016-09-13,115.7253490213
2016-09-14,115.0280667748
2016-09-15,114.8400356072
2016-09-16,114.2289343125
2016-09-19,115.0123975108
2016-09-20,115.2239325743
2016-09-21,116.5323161155
2016-09-22,116.0700728285
2016-09-23,115.5294832217
2016-09-26,116.2267654682
2016-09-27,116.6106624353
2016-09-28,117.3471178417
2016-09-29,117.9190459765
2016-09-30,117.7858572328
2016-10-03,110.1314217854
2016-10-04,107.5851663909
2016-10-05,107.3187889035
2016-10-06,108.0317404139
2016-10-07,106.494399001
2016-10-10,106.7466806688
2016-10-11,104.5786350865
2016-10-12,104.7047759204
2016-10-13,104.271166804
2016-10-14,104.5786350865
2016-10-17,104.2869344082
2016-10-18,105.5010399343
2016-10-19,105.5719941533
2016-10-20,105.9504166549
2016-10-21,105.9898356655
2016-10-24,106.2815363439
2016-10-25,105.2566420686
2016-10-26,104.8388005564
2016-10-27,105.1699202453
2016-10-28,105.4931561321
2016-10-31,105.1856878496
2016-11-01,104.271166804
2016-11-02,105.2881772771
2016-11-03,104.9255223797
2016-11-04,105.146268839
2016-11-07,108.0711594245
2016-11-08,107.9529023928
2016-11-09,108.1815326542
2016-11-10,110.3574620385
2016-11-11,109.2221945336
2016-11-14,108.7807016151
2016-11-15,108.9068424489
2016-11-16,109.379870576
2016-11-17,108.7964692193
2016-11-18,108.7649340108
2016-11-21,110.1682507877
2016-11-22,110.1445993814
2016-11-23,110.9645148016
2016-11-25,111.5873351688
2016-11-28,111.7765464197
2016-11-29,113.1089089775
2016-11-30,113.8894053871
2016-12-01,113.5819371045
2016-12-02,113.9603596062
2016-12-05,116.1520565948
2016-12-06,115.5528876339
2016-12-07,117.105996651
2016-12-08,117.5159543611
2016-12-09,117.9022606648
2016-12-12,117.9732148839
2016-12-13,117.5632571738
2016-12-14,116.8221797748
2016-12-15,117.5396057674
