date,adj_close
2014-12-31,169.6301889109
2015-01-02,169.5394069669
2015-01-05,166.4775795812
2015-01-06,164.9095278203
2015-01-07,166.9645009174
2015-01-08,169.9272934551
2015-01-09,168.5655642943
2015-01-12,167.2450996536
2015-01-13,166.7746841253
2015-01-14,165.7678298368
2015-01-15,164.2492954999
2015-01-16,166.4033034451
2015-01-20,166.7581783173
2015-01-21,167.5999745258
2015-01-22,170.0923515352
2015-01-23,169.1597733827
2015-01-26,169.5559127749
2015-01-27,167.3193757896
2015-01-28,165.1736207484
2015-01-29,166.7004079893
2015-01-30,164.6041703721
2015-02-02,166.6426376613
2015-02-03,169.0524856306
2015-02-04,168.4087591182
2015-02-05,170.1088573432
2015-02-06,169.6384418149
2015-02-09,168.8791746465
2015-02-10,170.6783077195
2015-02-11,170.7773425676
2015-02-12,172.4196704645
2015-02-13,173.1294202089
2015-02-17,173.401766041
2015-02-18,173.418271849
2015-02-19,173.294478289
2015-02-20,174.3343441936
2015-02-23,174.3095854815
2015-02-24,174.8047597218
2015-02-25,174.6562074497
2015-02-26,174.4498848496
2015-02-27,173.8556757613
2015-03-02,174.9533119939
2015-03-03,174.2353093455
2015-03-04,173.5008008891
2015-03-05,173.6906234582
2015-03-06,171.2477580958
2015-03-09,171.9575078402
2015-03-10,169.1680262867
2015-03-11,168.7718868944
2015-03-12,170.9176419356
2015-03-13,169.8695231271
2015-03-16,172.1390717283
2015-03-17,171.62739168
2015-03-18,173.6906176812
2015-03-19,172.8983388968
2015-03-20,174.4175417188
2015-03-23,174.0776757804
2015-03-24,173.0995250308
2015-03-25,170.5629646123
2015-03-26,170.1567833688
2015-03-27,170.546385786
2015-03-30,172.6270284822
2015-03-31,171.1183552921
2015-04-01,170.5132281335
2015-04-02,171.1266447053
2015-04-06,172.2788731307
2015-04-07,171.8229554084
2015-04-08,172.4032143277
2015-04-09,173.1658403358
2015-04-10,174.1108334329
2015-04-13,173.3233391853
2015-04-14,173.6549157106
2015-04-15,174.4341205451
2015-04-16,174.3843840663
2015-04-17,172.3783460883
2015-04-20,173.9533345834
2015-04-21,173.7460992551
2015-04-22,174.5999088077
2015-04-23,175.0392477038
2015-04-24,175.4454289472
2015-04-27,174.7159605916
2015-04-28,175.2713512715
2015-04-29,174.5501723289
2015-04-30,172.801106158
2015-05-01,174.6745135259
2015-05-04,175.1718783139
2015-05-05,173.1658403358
2015-05-06,172.4529508064
2015-05-07,173.1409720964
2015-05-08,175.4205607078
2015-05-11,174.5833299815
2015-05-12,174.0610969541
2015-05-13,174.0942546067
2015-05-14,175.9096360827
2015-05-15,176.1002925847
2015-05-18,176.6473938514
2015-05-19,176.5893679595
2015-05-20,176.4650267625
2015-05-21,176.9789703767
2015-05-22,176.556210307
2015-05-26,174.6579346997
2015-05-27,176.3158173261
2015-05-28,176.116871411
2015-05-29,175.0226688775
2015-06-01,175.3791136422
2015-06-02,175.2050359664
2015-06-03,175.6692431018
2015-06-04,174.1854381511
2015-06-05,173.8870192784
2015-06-08,172.7679485055
2015-06-09,172.7928167449
2015-06-10,174.8734594411
2015-06-11,175.4454289472
2015-06-12,174.0196498885
2015-06-15,173.3316285985
2015-06-16,174.2849111087
2015-06-17,174.5667511552
2015-06-18,176.3241067393
2015-06-19,175.6029858227
2015-06-22,176.5026168871
2015-06-23,176.6358955633
2015-06-24,175.3530883048
2015-06-25,174.7866539309
2015-06-26,174.8449633517
2015-06-29,171.1548100042
2015-06-30,171.5046665292
2015-07-01,172.9040926294
2015-07-02,172.6958446978
2015-07-06,172.1544000757
2015-07-07,173.270608989
2015-07-08,170.3717977814
2015-07-09,170.5967055475
2015-07-10,172.829123374
2015-07-13,174.72834451
2015-07-14,175.5280165673
2015-07-15,175.4530473119
2015-07-16,176.8191537431
2015-07-17,176.9857520883
2015-07-20,177.1107008473
2015-07-21,176.3943279626
2015-07-22,176.0028218513
2015-07-23,175.044881366
2015-07-24,173.2122995682
2015-07-27,172.2127094966
2015-07-28,174.3534982332
2015-07-29,175.5696661536
2015-07-30,175.6113157399
2015-07-31,175.3031088012
2015-08-03,174.7033547582
2015-08-04,174.3618281505
2015-08-05,175.011561697
2015-08-06,173.5538261759
2015-08-07,173.1956397336
2015-08-10,175.4530473119
2015-08-11,173.8120536111
2015-08-12,174.0286314599
2015-08-13,173.8453732801
2015-08-14,174.3951478195
2015-08-17,175.3947378911
2015-08-18,174.8699531035
2015-08-19,173.4955167551
2015-08-20,169.9386420838
2015-08-21,164.6241548699
2015-08-24,157.8519321351
2015-08-25,155.9610409163
2015-08-26,162.1668292773
2015-08-27,165.8986322112
2015-08-28,165.9652715493
2015-08-31,164.5491856146
2015-09-01,159.7428233538
2015-09-02,162.7749132375
2015-09-03,162.9748312518
2015-09-04,160.4258765693
2015-09-08,164.4825462765
2015-09-09,162.2334686154
2015-09-10,163.1414295971
2015-09-11,163.8827922335
2015-09-14,163.2497185215
2015-09-15,165.3072080855
2015-09-16,166.714964103
2015-09-17,166.3484477434
2015-09-18,163.5941022909
2015-09-21,164.4984922913
2015-09-22,162.3715009941
2015-09-23,162.1202815496
2015-09-24,161.5592247901
2015-09-25,161.5089809012
2015-09-28,157.3554860846
2015-09-29,157.4978437699
2015-09-30,160.4371112711
2015-10-01,160.8893062713
2015-10-02,163.2926389575
2015-10-05,166.1984105328
2015-10-06,165.6289797918
2015-10-07,166.9855647924
2015-10-08,168.4928814597
2015-10-09,168.5933692375
2015-10-12,168.7524748857
2015-10-13,167.6889792371
2015-10-14,166.8850770145
2015-10-15,169.4475153489
2015-10-16,170.2179216456
2015-10-19,170.3016614604
2015-10-20,170.0839379418
2015-10-21,169.0288162747
2015-10-22,171.8424740537
2015-10-23,173.7768637767
2015-10-26,173.333042758
2015-10-27,172.9813355356
2015-10-28,174.9659691476
2015-10-29,174.9240992401
2015-10-30,174.1201970176
2015-11-02,176.1801964629
2015-11-03,176.6910093335
2015-11-04,176.1718224814
2015-11-05,175.9792209072
2015-11-06,175.8871071109
2015-11-09,174.2458067399
2015-11-10,174.6477578511
2015-11-11,173.9610913694
2015-11-12,171.5326367387
2015-11-13,169.6066209972
2015-11-16,172.1858072945
2015-11-17,172.0601975723
2015-11-18,174.7901155364
2015-11-19,174.6393838696
2015-11-20,175.2758064625
2015-11-23,175.0748309069
2015-11-24,175.3093023884
2015-11-25,175.284180444
2015-11-27,175.4851559996
2015-11-30,174.7566196104
2015-12-01,176.423041926
2015-12-02,174.6226359067
2015-12-03,172.1774333131
2015-12-04,175.5353998885
2015-12-07,174.4719042399
2015-12-08,173.299546832
2015-12-09,171.951335813
2015-12-10,172.3951568317
2015-12-11,169.0539382192
2015-12-14,169.9080843306
2015-12-15,171.6917423869
2015-12-16,174.2039368324
