date,MSFT,GOOGL,AMZN,JPM,JNJ,PG,XOM,CAT,NEE,APD,SPY
2015-05-06,39.4779081708,26.5002650986,20.955,47.4194105003,72.3754142122,58.692617109,54.2959728773,66.3412857889,18.5258190952,110.6106547803,172.4529508064
2015-05-07,39.8361778647,26.8449646671,21.344,47.8496867532,72.7330218856,58.5466155739,53.9327273393,65.9142123317,18.6313845944,111.0970224826,173.1409720964
2015-05-08,40.7318520993,27.1871879455,21.6845,48.5841238057,74.0539808422,59.1014214073,54.7885092,66.5853277644,18.7443581988,112.4497326544,175.4205607078
2015-05-11,40.4077033287,27.0301911593,21.6425,48.5544495814,73.7328637477,58.5977161112,53.877317003,67.6987692779,18.5221150426,110.9602315663,174.5833299815
2015-05-12,40.3906428671,26.6810342688,21.551,48.4876825766,73.3241692639,58.3641136551,54.0263208758,67.233564262,18.5035947796,109.7975087782,174.0610969541
2015-05-13,40.6252242142,26.7186738769,21.3435,48.606379474,73.3825541902,58.1816117362,53.7407301196,67.4471009906,18.5573035423,110.1546850595,174.0942546067
2015-05-14,41.5592844875,27.1995693955,21.614,48.9995629465,74.3167130103,58.8167184139,53.9952784023,67.6758903427,18.7202818569,112.1837503172,175.9096360827
2015-05-15,41.1967496782,27.0653544773,21.3,48.8734474931,74.6597244521,59.1671220981,54.2312012009,67.4394746788,18.9165966449,112.8373069171,176.1002925847
2015-05-18,40.9536381003,27.0742691214,21.262,49.2740495217,75.4771134197,58.9408197187,53.9207764659,67.3327063145,18.9462290657,112.419334673,176.6473938514
2015-05-19,40.8512753306,27.2035314595,21.0855,49.7117443308,75.8712116719,59.0065204095,54.0076953917,66.5319435823,18.985121618,112.1001558684,176.5893679595
2015-05-20,40.8512753306,27.3634997937,21.193,49.3185608582,75.6084795038,58.7510177231,54.0946143175,67.0581590921,18.9869736443,111.8037755499,176.4650267625
2015-05-21,40.7139023997,27.576460734,21.5815,49.4446763117,75.2946605251,58.6999171858,54.1442822751,68.1258427351,18.9203006975,112.4649316451,176.9789703767
2015-05-22,40.2674403742,27.4630466519,21.3815,49.3111423021,74.5080437827,58.3641136551,53.7158961408,67.5920009136,18.9332648816,111.5377932127,176.556210307
2015-05-26,40.0012803206,27.1000225374,21.2735,48.7621691518,74.1184111906,57.7728074379,52.9895022609,66.9895222864,18.7110217254,110.9830300524,174.6579346997
2015-05-27,40.8770327551,27.4496746858,21.571,49.3111423021,74.3463094992,57.9553093568,52.8404983882,67.0505327803,18.8165872246,112.1229543545,176.3158173261
2015-05-28,40.7396598242,27.4462078798,21.3285,49.1108412878,74.3610126159,57.9115088963,52.8404983882,65.5939072388,19.0853156348,112.6245210474,176.116871411
2015-05-29,40.2330971415,27.0074092913,21.4615,48.7992619322,73.6185052235,57.2253016813,52.8963748405,65.067691729,19.0983788214,111.5301937174,175.0226688775
2015-06-01,40.5507720442,27.2000646535,21.546,49.0218186148,73.54498964,57.561105212,52.8529153776,65.2278442755,19.3204529938,112.0545588963,175.3791136422
2015-06-02,40.2846119906,27.4348169458,21.5495,48.9773072783,73.50088029,57.3348028326,52.8591238723,65.7159282266,19.0759847872,112.5865235707,175.2050359664
2015-06-03,40.2245113333,27.5011815179,21.8295,49.4817690921,73.5817474318,57.3494029861,52.741162473,65.761686097,18.7027508841,112.7309139823,175.6692431018
2015-06-04,39.8038067324,27.3228886377,21.539,49.2072825169,72.9495134145,57.0500998392,52.2879423599,65.1820864051,18.7307434269,110.8994356035,174.1854381511
2015-06-05,39.6149189524,27.2159129095,21.3475,50.0159051303,72.4790136807,56.5244943128,52.3251933281,65.6244124857,18.4321563044,110.6334532664,173.8870192784
2015-06-08,39.2629008169,26.9162818191,21.175,49.6227216577,72.0158655052,56.728896462,52.679077526,65.7006756031,18.3108552859,109.8431057503,172.7679485055
2015-06-09,39.1942143514,26.8509077631,21.274,49.8378597842,72.1996544637,57.5976055958,52.5114481691,66.1430016838,18.3239184725,109.7595113014,172.7928167449
2015-06-10,40.0184519369,27.3679571157,21.5385,50.6390638415,72.6922088725,58.0648105081,52.9025833352,67.4776062375,18.4974722374,110.9070350989,174.8734594411
2015-06-11,39.8724931978,27.2411710676,21.6485,50.8319462997,72.9568649728,57.9699095103,52.8280813988,67.2411905737,18.6001115608,111.1046219779,175.4454289472
2015-06-12,39.4689602133,27.1138897614,21.496,50.6316452854,72.3025762805,57.5757053655,52.1637724659,66.9971485982,18.5198662716,110.1546850595,174.0196498885
2015-06-15,39.0439627082,26.8925094351,21.1835,50.4387628272,71.6703422632,57.0281996089,51.9775176249,66.4480541532,18.4974722374,109.531526441,173.3316285985
2015-06-16,39.3487588987,26.9851226812,21.363,50.7206679584,72.3099278388,57.7436071309,52.5735331161,66.0362333195,18.5739851876,110.7322467059,174.2849111087
