date,adj_close
2014-12-31,26.2813610623
2015-01-02,26.2263874242
2015-01-05,25.7266721016
2015-01-06,25.0917513448
2015-01-07,25.0179579027
2015-01-08,25.1051233108
2015-01-09,24.7985586084
2015-01-12,24.6172941801
2015-01-13,24.8520464725
2015-01-14,25.0565880267
2015-01-15,24.9614984906
2015-01-16,25.280692272
2015-01-20,25.255186485
2015-01-21,25.7727310957
2015-01-22,26.6102123747
2015-01-23,26.840507345
2015-01-26,26.5814874107
2015-01-27,25.8123517357
2015-01-28,25.3785057271
2015-01-29,25.4181263672
2015-01-30,26.6225938248
2015-02-02,26.3576307944
2015-02-03,26.4121091745
2015-02-04,26.055523414
2015-02-05,26.2402546483
2015-02-06,26.4405865095
2015-02-09,26.2130154582
2015-02-10,26.7518561629
2015-02-11,26.6448804348
2015-02-12,27.0415820933
2015-02-13,27.2966399636
2015-02-17,26.9920562932
2015-02-18,26.8751754051
2015-02-19,27.0633734453
2015-02-20,26.833078475
2015-02-23,26.4963030346
2015-02-24,26.6770722048
2015-02-25,27.1069561494
2015-02-26,27.6992847182
2015-02-27,27.8647008904
2015-03-02,28.4783255532
2015-03-03,28.6652854484
2015-03-04,28.6422559514
2015-03-05,28.7960335606
2015-03-06,28.373330857
2015-03-09,28.4327618171
2015-03-10,27.7270191662
2015-03-11,27.5209918379
2015-03-12,27.7923932223
2015-03-13,27.3877674358
2015-03-16,27.8156703483
2015-03-17,27.6160813741
2015-03-18,28.0395269646
2015-03-19,27.9162077225
2015-03-20,27.9796007465
2015-03-23,28.0004015826
2015-03-24,28.6031305693
2015-03-25,28.0811286367
2015-03-26,27.9147219484
2015-03-27,27.6131098261
2015-03-30,27.7906598193
2015-03-31,27.4719612959
2015-04-01,27.2139318775
2015-04-02,26.808810833
2015-04-06,26.9395589452
2015-04-07,26.9846274232
2015-04-08,27.1817401075
2015-04-09,27.1411289514
2015-04-10,27.1668823675
2015-04-13,27.1718349475
2015-04-14,26.7330363589
2015-04-15,26.795438867
2015-04-16,26.9182628511
2015-04-17,26.3843747265
2015-04-20,26.9682839092
2015-04-21,26.8887950001
2015-04-22,27.1985788795
2015-04-23,27.6086525041
2015-04-24,28.4109704651
2015-04-27,28.0375459326
2015-04-28,27.9508757825
2015-04-29,27.8032888983
2015-04-30,27.1782733015
2015-05-01,27.2966399636
2015-05-04,27.3798433078
2015-05-05,26.8947380961
2015-05-06,26.5002650986
2015-05-07,26.8449646671
2015-05-08,27.1871879455
2015-05-11,27.0301911593
2015-05-12,26.6810342688
2015-05-13,26.7186738769
2015-05-14,27.1995693955
2015-05-15,27.0653544773
2015-05-18,27.0742691214
2015-05-19,27.2035314595
2015-05-20,27.3634997937
2015-05-21,27.576460734
2015-05-22,27.4630466519
2015-05-26,27.1000225374
2015-05-27,27.4496746858
2015-05-28,27.4462078798
2015-05-29,27.0074092913
2015-06-01,27.2000646535
2015-06-02,27.4348169458
2015-06-03,27.5011815179
2015-06-04,27.3228886377
2015-06-05,27.2159129095
2015-06-08,26.9162818191
2015-06-09,26.8509077631
2015-06-10,27.3679571157
2015-06-11,27.2411710676
2015-06-12,27.1138897614
2015-06-15,26.8925094351
2015-06-16,26.9851226812
2015-06-17,27.0708023153
2015-06-18,27.54525948
2015-06-19,27.6116240521
2015-06-22,27.7185997802
2015-06-23,27.9023404984
2015-06-24,27.6636261421
2015-06-25,27.6329201461
2015-06-26,27.3907389838
2015-06-29,26.805839285
2015-06-30,26.7459130669
2015-07-01,26.9073671751
2015-07-02,27.1074514074
2015-07-06,27.0222670313
2015-07-07,27.2406758096
2015-07-08,26.828125895
2015-07-09,26.9742270052
2015-07-10,27.541792674
2015-07-13,28.315385671
2015-07-14,28.9319818818
2015-07-15,28.9210862058
2015-07-16,29.8036359629
2015-07-17,34.6492402412
2015-07-20,34.3134553168
2015-07-21,34.437765075
2015-07-22,34.425383625
2015-07-23,33.4165430776
2015-07-24,32.4280081083
2015-07-27,32.6013484086
2015-07-28,32.6701892707
2015-07-29,32.7578499368
2015-07-30,32.912865691
2015-07-31,32.5632135425
2015-08-03,32.920789819
2015-08-04,32.7504210668
2015-08-05,33.3452259255
2015-08-06,33.1897149133
2015-08-07,32.904446305
2015-08-10,32.8425390549
2015-08-11,34.1876597846
2015-08-12,34.2456049707
2015-08-13,33.9999570024
2015-08-14,34.1416007906
2015-08-17,34.3763530829
2015-08-18,34.1099042785
2015-08-19,34.3728862769
2015-08-20,33.6517906279
2015-08-21,31.8961010156
2015-08-24,30.612392278
2015-08-25,30.3330667656
